source_user,target_user,weight,n_topic_direct,n_repost_mapped
呵呵上海2012,林步里,83,83,0
YKZ崽崽_我耐你m,用户2733751065,70,70,0
盛夏-018,用户2733751065,61,61,0
盛唐唐唐,用户2733751065,59,59,0
得意学堂岱珈,得意学堂岱珈,56,2,54
高春梅的天空,用户2733751065,56,56,0
用户2733751065,用户2733751065,53,53,0
得意学堂岱珈,得意的弦小二,32,0,32
曾生要賺錢練肌肉,曾生要賺錢練肌肉,29,0,29
老杨鸿,老杨鸿,29,0,29
银卓金融YZ银卓法律,银卓金融YZ银卓法律,29,27,2
南海客尘,南海客尘,24,24,0
赤jio熊喵,赤jio熊喵,22,22,0
吉祥8643,阿司匹林42195米,18,2,16
朱漆方台,江卓尔_大号,18,0,18
盼公道的老阿姨,用户2733751065,17,17,0
路人丁开挖掘机,路人丁开挖掘机,17,5,12
穆国龙13904582878,用户2733751065,16,16,0
重庆南岸李华兰,用户2733751065,16,16,0
要改正要学好,陕西汉书下酒,16,2,14
极客红石,拍帮主,16,15,1
日本沙雕日常,生草字幕组,15,4,11
天涯浪子觅知音,天涯浪子觅知音,15,0,15
意大利华裔郭医生,意大利华裔郭医生,14,14,0
蒙味始觉,蒙味始觉,14,0,14
元宝兔兔好运,中医田应旭,13,0,13
森南有鹿_apv,江卓尔_大号,12,1,11
日本笑死我了,生草字幕组,12,3,9
杨逢春2015,大耳朵中医,12,0,12
北京鲁戈,北京鲁戈,12,6,6
豆豆的口水流下来了,中医田应旭,12,1,11
快乐de小丸子O,木白弓虽,11,7,4
红色经典白,红色经典白,11,11,0
中医田应旭,中医张恒毅,11,2,9
rickyaoyao,rickyaoyao,11,0,11
地瓜熊老六,地瓜熊老六,11,0,11
雷神1999,江卓尔_大号,10,8,2
得意的弦小二,得意的弦小二,10,0,10
呵呵上海2012,呵呵上海2012,9,9,0
重庆舒忠余窝案,用户2733751065,9,9,0
飞龙中医,飞龙中医,9,2,7
呵呵上海2012,三个老爸实验室,9,9,0
ebnash,南海客尘,9,9,0
迷惑沙雕bot,生草字幕组,9,1,8
大耳朵中医,大耳朵中医,9,1,8
陀螺不自转,江卓尔_大号,9,0,9
非歌如梦,非歌如梦,8,8,0
林步里,林步里,8,8,0
金池荷涟涟,南海客尘,8,8,0
jlj6661_pkl,中医范圣华,8,0,8
呵呵上海2012,圣蛇杖,8,8,0
想好了再来改ID,想好了再来改ID,8,0,8
司法公平公正公开,天津徐玉强,8,8,0
shixiangjun111,大耳朵中医,7,0,7
要改正要学好,南海客尘,7,7,0
呵呵上海2012,方脑壳邓铂鋆,7,7,0
教你在家做理疗,老李乐观天下,7,5,2
用户7821370827,林步里,7,7,0
金池荷涟涟,陕西汉书下酒,7,7,0
生草字幕组,生草字幕组,7,0,7
亟兮般若,亟兮般若,7,1,6
夜满月Crystal,林步里,7,6,1
中医黄锐,中医田应旭,7,2,5
苏南格林,中医田应旭,7,0,7
我爱丫丫悟,我爱丫丫悟,7,7,0
虹玲h,飞龙中医,6,1,5
ebnash,林步里,6,6,0
万事风过耳,生草字幕组,6,0,6
王敬刮痧,王敬刮痧,6,6,0
徐归尘,南海客尘,6,6,0
拍帮主,拍帮主,6,6,0
左董英子,南海客尘,6,6,0
NOSTUPID3,NOSTUPID3,6,6,0
陳炫達叔叔,陳炫達叔叔,6,6,0
牵伊伊小手,牵伊伊小手,6,3,3
呵呵上海2012,梅子在想什么,6,5,1
呵呵上海2012,江卓尔_大号,6,3,3
lavender-loyal,中医刘茜檬,6,0,6
MLRS270,MLRS270,6,6,0
东方视界aqiang,江卓尔_大号,6,0,6
博爱定西,张胜军,6,2,4
纶柒紗琉,纶柒紗琉,6,3,3
杰歪今天要早睡,老李乐观天下,6,4,2
叶行舟_作者大大们今天更新了吗,生草字幕组,6,0,6
薏米薏米酱_,薏米薏米酱_,6,3,3
经方梧桐先生,经方梧桐先生,6,6,0
烟雨笙笙,陳炫達叔叔,6,6,0
隐默_32238,隐默_32238,6,6,0
随缘度世林一生,随缘度世林一生,6,6,0
呵呵上海2012,拍帮主,6,5,1
极客红石,林步里,6,6,0
我是希尔瑞思,每日经济新闻,6,6,0
四川魏静,四川魏静,5,2,3
徐归尘,飞龙中医,5,1,4
单桂敏是我,单桂敏是我,5,5,0
baby-unicorn,三个老爸实验室,5,4,1
吉星高照-lucky,陕西汉书下酒,5,0,5
夏至蝉鸣holly,老李乐观天下,5,3,2
对饮于江湖,生草字幕组,5,0,5
CBS0086,陕西汉书下酒,5,5,0
芋头微波,飞龙中医,5,1,4
侠所闻,中医田应旭,5,0,5
反对新世界秩序,中医田应旭,5,2,3
不隐卷柏,陕西汉书下酒,5,4,1
happy晓荷,陕西汉书下酒,5,1,4
方糖山楂片,生草字幕组,5,0,5
北方新报,内蒙古日报,5,1,4
稀碎心情,Jokielicious,5,0,5
PSproca,马宝琳谈房颤,5,5,0
yuankong198610,陕西汉书下酒,5,5,0
重庆舒忠余奇案,用户2733751065,5,5,0
金池荷涟涟,林步里,5,5,0
望江防邪,安徽反邪教,5,2,3
夜满月Crystal,拍帮主,5,5,0
怪手堂怪手先生彭一峰,怪手堂怪手先生彭一峰,5,5,0
悠之燃,江卓尔_大号,5,1,4
从善如流2021,止谣君,5,0,5
心中的日月xzdry,大耳朵中医,5,0,5
为正义呐喊2022,用户2733751065,5,5,0
爱好中医,爱好中医,5,5,0
汉唐长安中医郭仲凯,南海客尘,5,5,0
无所谓呦315,中医田应旭,5,1,4
饱乐促和谐反极端,饱乐促和谐反极端,5,5,0
芹菜加萝卜,中医田应旭,5,2,3
开疆扩土特狼普,林步里,5,5,0
贝罗尼科技,每日医学资讯,5,5,0
用户5371581768,中医田应旭,5,3,2
deardank,老李乐观天下,5,2,3
种花家的小郎中,上帝之鹰_5zn,5,0,5
MaoTaiPianzhi茅台片仔癀,MaoTaiPianzhi茅台片仔癀,4,1,3
用户7821370827,中医妇儿林波,4,1,3
旷世废材,生草字幕组,4,1,3
用户7821370827,上帝之鹰_5zn,4,4,0
竹庄讲道,潇湘晨报,4,4,0
敷着面膜的太阳YM已撤销,敷着面膜的太阳YM已撤销,4,4,0
竹庄讲道,九派新闻,4,4,0
酸苗双拒,中医田应旭,4,0,4
当归拉法_Dr段,南海客尘,4,4,0
明东征提督李如松,答案事务所,4,0,4
sanna-sanna,sanna-sanna,4,0,4
让正义休息一会,用户2733751065,4,4,0
MaoTaiPianzhi茅台片仔癀,中医张恒毅,4,1,3
呱呱不是咕咕,呱呱不是咕咕,4,2,2
琉璃瓶的记忆-,捕捉一只野生章鱼,4,2,2
制心一处万物同频,林步里,4,4,0
朱漆方台,三个老爸实验室,4,1,3
妈咪的琦琦殿下,林步里,4,4,0
麦可依然香饽饽,Jokielicious,4,0,4
核聚变ju,钉子1666,4,1,3
Kero_Karroy,生草字幕组,4,0,4
jrry86,林步里,4,4,0
精彩东方,精彩东方,4,2,2
K女士lay辽,生草字幕组,4,2,2
夕阳月色美,中医田应旭,4,0,4
-铃魂转生-,生草字幕组,4,1,3
ousmz,中医田应旭,4,0,4
王二姑娘今天离婚了吗,王二姑娘今天离婚了吗,4,0,4
多吃蓝莓胡萝卜,多吃蓝莓胡萝卜,4,2,2
一二三Jane,陳炫達叔叔,4,4,0
张作风流行病学教授UCLA,张作风流行病学教授UCLA,4,0,4
一块板的距离,Jokielicious,4,2,2
意志力无下限的废物,Jokielicious,4,0,4
Sn雪舞倾城,祖传中医肖春林,4,1,3
止谣君,止谣君,4,0,4
想着天妃宫,想着天妃宫,4,0,4
未眠_13,捕捉一只野生章鱼,4,2,2
baby-unicorn,拍帮主,4,4,0
寥寂忧愁思莼,答案事务所,4,1,3
AC蓦然回首,AC蓦然回首,4,4,0
巨型宇宙仓耗子,江卓尔_大号,4,0,4
感觉自己运气很好的七,生草字幕组,4,0,4
今日剑川,中国健康教育官方微博,4,4,0
桂哥猎手VIP777,桂哥猎手VIP777,4,0,4
我是希尔瑞思,林步里,4,3,1
雷神1999,无边桃炎,4,4,0
模_人,模_人,4,4,0
杏林寻道,杏林寻道,4,4,0
杏林蔓草,草民插头,4,4,0
雷神1999,寒江独钓僧,4,4,0
观自在悟如来,健康中国,4,4,0
我是希尔瑞思,大公文匯網,4,4,0
我是希尔瑞思,中国日报,4,4,0
李塘-生态无添加食品,李塘-生态无添加食品,4,0,4
战甲装研菌,战甲装研菌,4,4,0
江南小蝶52,江南小蝶52,4,4,0
楊光的易经空间,南海客尘,4,4,0
瘦不了的中医肥猫,瘦不了的中医肥猫,4,4,0
先聚焦后改变,林步里,4,4,0
Chenhaowei要胜,阿司匹林42195米,4,1,3
虚实畛域,得意学堂岱珈,4,0,4
阿莲瑞也,中医田应旭,4,0,4
毛芋头_89300,中医田应旭,4,0,4
咱乃猫是也,生草字幕组,4,0,4
爱学习爱生活爱我,爱学习爱生活爱我,4,4,0
