mid,group,risk_class,content,text_len_chars,punct_density,first_person_ratio,data_token_ratio,avg_sentence_len
4504565208086027,wemedia,risk,#新冠后遗症#目前，全球已经有超过430万人感染了新冠病毒。因新冠病毒离世的病患，更是超出了29万！人类对于这场肆虐全球的瘟疫束手无策，病毒至今仍在各国传播和蔓延。而那些在这场浩劫中幸存下来的人们，依然在病痛中挣扎。据报道，在疫情重灾区的欧美国家，越来越多的“康复”病患出现了后遗症...,144.0,0.006944444444444444,0.0,0.016129032258064516,36.0
4504804603450936,wemedia,risk,【美国遭儿童流行病警报 或与#新冠后遗症#有关】日前，美国波士顿儿科医院的医生，进行了一项针对感染新冠病毒肺炎的儿童，肺部组织断层切片的专项研究。研究结果表明，感染新冠肺炎的儿童，肺部部分组织将严重纤维化，造成的后遗症不可忽视。根据波士顿儿科医院的检测，20岁左右成年人感染新冠病毒肺炎后，根据感染病症严重程度的不同，有三分之二的概率可能导致肺部“毛玻璃化”病变，有一半的概率会存在肺部阴影，形成肺部肿块，进一步造成肺部积液，导致患者即便康复，也将遭受肺功能丧失、肺活量减少、呼吸困难的病痛折磨。而针对未成年儿童感染的情况，研究结果表明，和Sars病毒及Mers病毒（中东冠装病毒）感染者类似。一般情况下来说，儿童感染新冠病毒肺炎后症状要比成年人稍轻。但是，如果儿童先期患有慢性疾病，则新冠肺炎造成的病状和后遗症，要比成年人更为严重。与此同时，当地时间5月10日，美国纽约州发现85例儿童感染“炎症综合征”，症状与中毒性休克综合征和川崎病相似，被怀疑与新冠病毒有关。病症已致3名儿童死亡。科莫表示，这可能预示着儿童面临大流行病的风险； 大多数患病的孩子并未表现出新冠肺炎典型症状，但新冠病毒或抗体检测均呈阳性 。纽约州卫生部门近日表示，这种被称作“小儿多系统炎症综合征”疾病被怀疑与新冠肺炎有关，症状与中毒性休克综合征和川崎病相似，可能出现发烧、肠胃病症和皮疹，所有医院如发现病例应立即上报。纽约市方面此前已发布健康警报，提醒医生留意类似病例，在必要时及时联络当地卫生部门，同时提醒家长，如果孩子出现相关症状及时就医。,659.0,0.0,0.0,0.008532423208191127,54.916666666666664
4539939314472210,mainstream,risk,糖尿、脱发、抑郁……逐渐浮出水面的新冠后遗症  #新冠后遗症# #钟南山称新冠无明显肺部后遗症# #新冠肺炎治愈后是否有后遗症# O网页链接,70.0,0.0,0.0,0.0,70.0
4560757477346498,wemedia,risk,读到这篇文章 O网页链接。第一次听说“脑雾”。新冠的种种后遗症，这一种尤其可怕。我应该开始读日记了。明天说不定会轮到我呢？这个年纪，已经开始担心老年症呆。#新冠后遗症#,84.0,0.011904761904761904,0.028169014084507043,0.0,14.0
4581007384642242,mainstream,risk,【#新冠后遗症不容忽视#】头疼恶心、肌肉疼痛、记忆里衰退、脱发……一些新冠肺炎转阴患者仍然遭受着#新冠后遗症#。一位意大利患者称“我们觉得自己像幽灵”，并呼吁更多关注。#新冠病毒最可怕的后遗症# LCGTN记者团的微博视频,111.0,0.0,0.022727272727272728,0.0,55.5
4581021029505153,mainstream,risk,【#新冠后遗症不容忽视#】头疼恶心、肌肉疼痛、记忆里衰退、脱发……一些新冠肺炎转阴患者仍然遭受着#新冠后遗症#。一位意大利患者称“我们觉得自己像幽灵”，并呼吁更多关注。#新冠病毒最可怕的后遗症# LCGTN记者团的微博视频,111.0,0.0,0.022727272727272728,0.0,55.5
4588149744080845,mainstream,risk,【感染新冠病毒或引发精神病和长期后遗症】美国国立卫生研究院举办了讨论“新冠长期症状”问题的研讨会，这指的是在首次感染后，一些病人的症状会持续数周或数月。美国CDC最近也列出了一些患者所经历的持续性症状，包括胸痛、脑雾、疲劳和脱发等。还有一些患者讲述了新冠长期症状带来的影响，包括勃起功能障碍、内分泌失衡、幻觉和类似失智症的症状，这些问题都可能会严重影响日常生活。另外，新冠病毒甚至还会导致严重的精神病症状。#感染新冠或引发精神病和长期后遗症# #新冠后遗症#  O网页链接 L洛杉矶华人资讯网的微博视频,251.0,0.0,0.0,0.0,62.75
4591505303417170,wemedia,risk,#新冠后遗症# 1月9日，《柳叶刀》上的最新研究随访了2020年初曾在武汉金银潭医院住院的1733名新冠病人。研究发现，有76%的人确诊新冠六个月后仍有至少一项症状，包括肌肉无力、疲劳和睡眠障碍，其他心理症状譬如焦虑、抑郁也十分常见。此外，这篇文章还提到患者六个月后抗体水平较感染之初降低，存在再度感染的风险。 2北京·百万庄大街2号院,168.0,0.0,0.0,0.04929577464788732,56.0
4593617966210971,mainstream,risk,脱发还不算完……新冠后遗症“肺硬化、疲劳感” : 韩民族日报 #新冠后遗症# O网页链接对新冠确诊者后遗症调查显示，康复3个月后出现相对较重的脱发和运动时气喘症状，6个月后出现相对较重的疲劳感，部分确诊者还观察到肺功能下降或肺纤维化，并出现精神抑郁感和创伤后紧张障碍症状。韩国中央防疫对策本部(防对本)第二副本部长权埈郁14日在例行记者会上发布了一项“新冠患者临床后遗症研究”的中期结果，该研究由疾病管理厅国立保健研究院和国立中央医疗院进行，对40名成年人确诊者每三个月进行一次检查和问卷调查。权埈郁表示：“部分患者出现了肺功能下降，但随着时间的推移逐渐恢复。在肺部CT观察到，3个月时肺部仍有大面积炎症，6个月后大部分情况有所好转，但出现部分肺纤维化。”肺纤维化指肺硬化现象。他接着解释说：“40为被访者中有中轻症、中症、重症患者，各年龄段分布均匀。肺功能下降方面，60岁以上高龄患者和新冠重症患者较为严重。精神病学后遗症的情况是，随着时间的推移，抑郁感没有减缓，反而出现了创伤后紧张障碍加深的倾向。”O网页链接,457.0,0.0,0.0,0.019753086419753086,57.125
4596827083244697,wemedia,risk,#新冠后遗症# 这是一个切实存在的问题。。。不要以为不会死就满不在乎，让尔痛苦地生。最好防御，最好不得。。。福奇警告：新冠引发的长期症状是一大问题 O福奇警告：新冠引发的长期症状是一大问题,94.0,0.0,0.0,0.0,13.428571428571429
4598011101453805,mainstream,risk,新冠治愈后：四成患者依然在承受“这一”后遗症 #新冠# #新冠后遗症# #新冠肺炎后遗症# #新冠肺炎治愈后是否有后遗症# O网页链接,67.0,0.0,0.0,0.0,67.0
