mid,user_name,user_link,verify_typ,weibo_link,publish_time,content,image_urls,video_preview_url,video_download_url,forward_num,comment_num,like_num,source,location_url,location_name,publish_location,origin_weibo_user_name,origin_weibo_content,origin_weibo_info
4798467408666483,生草字幕组,https://weibo.com/7389331494,红V认证,https://weibo.com/7389331494/LFjAoAmxZ,2022-08-03 19:47,【2022#新冠后遗症纪录片# 】我的人生崩坏——每10人中有1人出现新冠后遗症的“缘由”。为何会出现新冠后遗症？女性出现新冠后遗症的概率比男性高1.5倍？奥密克戎的后遗症和德尔塔不同？/#电影二创榜# /#快乐夏日二创图鉴# /  L生草字幕组的微博视频,,https://video.weibo.com/show?fid=1034:4798459459600455,"https://f.video.weibocdn.com/o0/xK2suQtTlx07Y89baZ4c0104120b3T190E040.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1708157183&ssig=apoldkfLgu&KID=unistore,video",3165,408,2185,微博视频号,,,,,,{}
4798492268567754,木灯霞飞,https://weibo.com/5521345340,红V认证,https://weibo.com/5521345340/LFkeuzWRA,2022-08-03 21:26,【2022#新冠后遗症纪录片# 】转发原文：【2022#新冠后遗症纪录片# 】我的人生崩坏——每10人中有1人出现新冠后遗症的“缘由”。为何会出现新冠后遗症？女性出现新冠后遗症的概率比男性高1.5倍？奥密克戎的后遗症和德尔塔不同？/#电影二创榜# /#快乐夏日二创图鉴# /  L生草字幕组的微博视频,,https://video.weibo.com/show?fid=1034:4798459459600455,"https://f.video.weibocdn.com/o0/xK2suQtTlx07Y89baZ4c0104120b3T190E040.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1708157183&ssig=apoldkfLgu&KID=unistore,video",0,0,0,微博 weibo.com,,,,生草字幕组,【2022#新冠后遗症纪录片# 】我的人生崩坏——每10人中有1人出现新冠后遗症的“缘由”。为何会出现新冠后遗症？女性出现新冠后遗症的概率比男性高1.5倍？奥密克戎的后遗症和德尔塔不同？/#电影二创榜# /#快乐夏日二创图鉴# /  L生草字幕组的微博视频 ​,"{""origin_user_name"": ""生草字幕组"", ""origin_user_link"": ""https://weibo.com/u/7389331494"", ""origin_user_verify_typ"": ""红V认证"", ""origin_weibo_content"": ""【2022#新冠后遗症纪录片# 】我的人生崩坏——每10人中有1人出现新冠后遗症的“缘由”。为何会出现新冠后遗症？女性出现新冠后遗症的概率比男性高1.5倍？奥密克戎的后遗症和德尔塔不同？/#电影二创榜# /#快乐夏日二创图鉴# /  L生草字幕组的微博视频"", ""origin_weibo_link"": ""https://weibo.com//weibo.com/7389331494/LFjAoAmxZ?refer_flag=1001030103_"", ""origin_weibo_publish_time"": ""2022-08-03 19:47"", ""origin_source"": ""微博视频号"", ""origin_repost_cnt"": ""3165"", ""origin_comment_cnt"": ""408"", ""origin_like_cnt"": ""2185"", ""origin_weibo_image_urls"": """"}"
4798715724827902,S星人無聊夜天,https://weibo.com/2437003030,红V认证,https://weibo.com/2437003030/LFq2UkfXo,2022-08-04 12:14,#新冠后遗症纪录片#转发原文：【2022#新冠后遗症纪录片# 】我的人生崩坏——每10人中有1人出现新冠后遗症的“缘由”。为何会出现新冠后遗症？女性出现新冠后遗症的概率比男性高1.5倍？奥密克戎的后遗症和德尔塔不同？/#电影二创榜# /#快乐夏日二创图鉴# /  L生草字幕组的微博视频,,https://video.weibo.com/show?fid=1034:4798459459600455,"https://f.video.weibocdn.com/o0/xK2suQtTlx07Y89baZ4c0104120b3T190E040.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1708157183&ssig=apoldkfLgu&KID=unistore,video",0,0,0,iPhone客户端,,,,生草字幕组,【2022#新冠后遗症纪录片# 】我的人生崩坏——每10人中有1人出现新冠后遗症的“缘由”。为何会出现新冠后遗症？女性出现新冠后遗症的概率比男性高1.5倍？奥密克戎的后遗症和德尔塔不同？/#电影二创榜# /#快乐夏日二创图鉴# /  L生草字幕组的微博视频 ​,"{""origin_user_name"": ""生草字幕组"", ""origin_user_link"": ""https://weibo.com/u/7389331494"", ""origin_user_verify_typ"": ""红V认证"", ""origin_weibo_content"": ""【2022#新冠后遗症纪录片# 】我的人生崩坏——每10人中有1人出现新冠后遗症的“缘由”。为何会出现新冠后遗症？女性出现新冠后遗症的概率比男性高1.5倍？奥密克戎的后遗症和德尔塔不同？/#电影二创榜# /#快乐夏日二创图鉴# /  L生草字幕组的微博视频"", ""origin_weibo_link"": ""https://weibo.com//weibo.com/7389331494/LFjAoAmxZ?refer_flag=1001030103_"", ""origin_weibo_publish_time"": ""2022-08-03 19:47"", ""origin_source"": ""微博视频号"", ""origin_repost_cnt"": ""3165"", ""origin_comment_cnt"": ""408"", ""origin_like_cnt"": ""2185"", ""origin_weibo_image_urls"": """"}"
4798847333959461,易轩铭,https://weibo.com/1262261744,黄V认证,https://weibo.com/1262261744/LFttbgC2h,2022-08-04 20:57,【2022#新冠后遗症纪录片# 】我的人生崩坏——每10人中有1人出现新冠后遗症的“缘由”。为何会出现新冠后遗症？女性出现新冠后遗症的概率比男性高1.5倍？奥密克戎的后遗症和德尔塔不同？/#电影二创榜# /#快乐夏日二创图鉴# /  L生草字幕组的微博视频,,https://video.weibo.com/show?fid=1034:4798459459600455,"https://f.video.weibocdn.com/o0/xK2suQtTlx07Y89baZ4c0104120b3T190E040.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1708157183&ssig=apoldkfLgu&KID=unistore,video",0,0,0,爱最伟大！Android,,,,,,{}
4799056721480580,博物幻想夜,https://weibo.com/6853310694,没有认证,https://weibo.com/6853310694/LFyUU6dak,2022-08-05 10:49,【2022#新冠后遗症纪录片# 】我的人生崩坏——每10人中有1人出现新冠后遗症的“缘由”。为何会出现新冠后遗症？女性出现新冠后遗症的概率比男性高1.5倍？奥密克戎的后遗症和德尔塔不同？L生草字幕组的微博视频,,https://video.weibo.com/show?fid=1034:4798459459600455,"https://f.video.weibocdn.com/o0/xK2suQtTlx07Y89baZ4c0104120b3T190E040.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1708157183&ssig=apoldkfLgu&KID=unistore,video",0,0,0,微博视频号,,,,,,{}
4801599896292468,生草字幕组,https://weibo.com/7389331494,红V认证,https://weibo.com/7389331494/M0FCtqoXq,2022-08-12 11:14,【中日双语】日本新冠后遗症患者呈现年轻化趋势，治疗新冠后遗症的门诊爆满。1/8的新冠患者会出现后遗症？新冠后遗症会在感染后的3~5个月内出现？#新冠后遗症纪录片#→微博正文/#宝藏二创榜# /#快乐夏日二创图鉴# /  L生草字幕组的微博视频,,https://video.weibo.com/show?fid=1034:4801595746222195,"https://f.video.weibocdn.com/o0/Z0lAW6kblx07YlW04GsE01041202e9KI0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1708157186&ssig=l3WxZZPRf3&KID=unistore,video",253,55,469,微博视频号,,,,,,{}
4801960403797526,光在上影在下,https://weibo.com/1641472463,没有认证,https://weibo.com/1641472463/M0OZWfVUq,2022-08-13 11:07,#新冠后遗症纪录片#对于那些故意或无知而标榜自由叫唤放开躺平防疫的键盘手来说，这个无疑是最打脸的调查事实。这是日本媒体自己的纪实调查，而非是国内媒体了。残酷无比的事实就是摆在这里：狡猾无比的新冠病毒发展变异到今天，改变他的策略，使出更残忍的招数，传染性更强，死亡率下降，但后遗症风险加大，让你生不如死。根据日媒的调查采访：一是日本每日新增确诊感染超20万，数量仍高居不下，十分惊人；二是虽然没有封控、轻症居家，但是民众内心的恐惧感、不安全感反益加深，人口仅500多万的兵库县一天免费抗原检测1000份仅半小时全部抢光。三是日本各地都开设很多新冠后遗症门诊，但都人满为患，预约都排到明年（2023）6月份，英国医学杂志发表“每8名新冠患者人就有1名在感染后的3至5个月内会出现后遗症”的研究结果，主要是疲倦感、气喘、注意力无法集中、味觉紊乱、健忘。四是与1年前相比，新冠后遗症患者从40至50岁的人、老年人为主转为老年人减少、10多、20多岁的青少年增多。六是天气极端比如太冷、太热或个人压力太大，都会加重新冠后遗症病情。六是新冠后遗症还导致生存问题，进而引发心理问题。由于无法正常学习、工作、生活，只能被迫中断学业、工作。,,,,0,0,0,iPhone客户端,,,,,,{}
4802723566061035,木潇潇VIVI-C,https://weibo.com/1894293791,红V认证,https://weibo.com/1894293791/M18QQpqKD,2022-08-15 13:39,//@我爱丫丫悟: 【中日双语】日本新冠后遗症患者呈现年轻化趋势，治疗新冠后遗症的门诊爆满。1/8的新冠患者会出现后遗症？新冠后遗症会在感染后的3~5个月内出现？ #新冠后遗症纪录片#→ 微博正文  /#宝藏二创榜# /#快乐夏日二创图鉴# / →  L生草字幕组的微博视频  转发原文：【中日双语】日本新冠后遗症患者呈现年轻化趋势，治疗新冠后遗症的门诊爆满。1/8的新冠患者会出现后遗症？新冠后遗症会在感染后的3~5个月内出现？#新冠后遗症纪录片#→微博正文/#宝藏二创榜# /#快乐夏日二创图鉴# /  L生草字幕组的微博视频,,https://video.weibo.com/show?fid=1034:4801595746222195,"https://f.video.weibocdn.com/o0/Z0lAW6kblx07YlW04GsE01041202e9KI0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1708157189&ssig=QdCiMxOF5Y&KID=unistore,video",0,0,0,微博 weibo.com,,,,生草字幕组,【中日双语】日本新冠后遗症患者呈现年轻化趋势，治疗新冠后遗症的门诊爆满。1/8的新冠患者会出现后遗症？新冠后遗症会在感染后的3~5个月内出现？#新冠后遗症纪录片#→微博正文/#宝藏二创榜# /#快乐夏日二创图鉴# /  L生草字幕组的微博视频 ​,"{""origin_user_name"": ""生草字幕组"", ""origin_user_link"": ""https://weibo.com/u/7389331494"", ""origin_user_verify_typ"": ""红V认证"", ""origin_weibo_content"": ""【中日双语】日本新冠后遗症患者呈现年轻化趋势，治疗新冠后遗症的门诊爆满。1/8的新冠患者会出现后遗症？新冠后遗症会在感染后的3~5个月内出现？#新冠后遗症纪录片#→微博正文/#宝藏二创榜# /#快乐夏日二创图鉴# /  L生草字幕组的微博视频"", ""origin_weibo_link"": ""https://weibo.com//weibo.com/7389331494/M0FCtqoXq?refer_flag=1001030103_"", ""origin_weibo_publish_time"": ""2022-08-12 11:14"", ""origin_source"": ""微博视频号"", ""origin_repost_cnt"": ""253"", ""origin_comment_cnt"": ""55"", ""origin_like_cnt"": ""469"", ""origin_weibo_image_urls"": """"}"
4802723378365408,烑燚,https://weibo.com/7703992413,红V认证,https://weibo.com/7703992413/M18Qxz6dW,2022-08-15 13:39,//@我爱丫丫悟:【中日双语】日本新冠后遗症患者呈现年轻化趋势，治疗新冠后遗症的门诊爆满。1/8的新冠患者会出现后遗症？新冠后遗症会在感染后的3~5个月内出现？ #新冠后遗症纪录片#→微博正文 /#宝藏二创榜# /#快乐夏日二创图鉴# / → L生草字幕组的微博视频 转发原文：【中日双语】日本新冠后遗症患者呈现年轻化趋势，治疗新冠后遗症的门诊爆满。1/8的新冠患者会出现后遗症？新冠后遗症会在感染后的3~5个月内出现？#新冠后遗症纪录片#→微博正文/#宝藏二创榜# /#快乐夏日二创图鉴# /  L生草字幕组的微博视频,,https://video.weibo.com/show?fid=1034:4801595746222195,"https://f.video.weibocdn.com/o0/Z0lAW6kblx07YlW04GsE01041202e9KI0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1708157189&ssig=QdCiMxOF5Y&KID=unistore,video",0,0,0,华为手机,,,,生草字幕组,【中日双语】日本新冠后遗症患者呈现年轻化趋势，治疗新冠后遗症的门诊爆满。1/8的新冠患者会出现后遗症？新冠后遗症会在感染后的3~5个月内出现？#新冠后遗症纪录片#→微博正文/#宝藏二创榜# /#快乐夏日二创图鉴# /  L生草字幕组的微博视频 ​,"{""origin_user_name"": ""生草字幕组"", ""origin_user_link"": ""https://weibo.com/u/7389331494"", ""origin_user_verify_typ"": ""红V认证"", ""origin_weibo_content"": ""【中日双语】日本新冠后遗症患者呈现年轻化趋势，治疗新冠后遗症的门诊爆满。1/8的新冠患者会出现后遗症？新冠后遗症会在感染后的3~5个月内出现？#新冠后遗症纪录片#→微博正文/#宝藏二创榜# /#快乐夏日二创图鉴# /  L生草字幕组的微博视频"", ""origin_weibo_link"": ""https://weibo.com//weibo.com/7389331494/M0FCtqoXq?refer_flag=1001030103_"", ""origin_weibo_publish_time"": ""2022-08-12 11:14"", ""origin_source"": ""微博视频号"", ""origin_repost_cnt"": ""253"", ""origin_comment_cnt"": ""55"", ""origin_like_cnt"": ""469"", ""origin_weibo_image_urls"": """"}"
4802726641011407,似火暖阳,https://weibo.com/1788503332,红V认证,https://weibo.com/1788503332/M18VO4f71,2022-08-15 13:52,//@我爱丫丫悟:【中日双语】日本新冠后遗症患者呈现年轻化趋势，治疗新冠后遗症的门诊爆满。1/8的新冠患者会出现后遗症？新冠后遗症会在感染后的3~5个月内出现？ #新冠后遗症纪录片#→微博正文 /#宝藏二创榜# /#快乐夏日二创图鉴# / → L生草字幕组的微博视频 转发原文：【中日双语】日本新冠后遗症患者呈现年轻化趋势，治疗新冠后遗症的门诊爆满。1/8的新冠患者会出现后遗症？新冠后遗症会在感染后的3~5个月内出现？#新冠后遗症纪录片#→微博正文/#宝藏二创榜# /#快乐夏日二创图鉴# /  L生草字幕组的微博视频,,https://video.weibo.com/show?fid=1034:4801595746222195,"https://f.video.weibocdn.com/o0/Z0lAW6kblx07YlW04GsE01041202e9KI0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1708157189&ssig=QdCiMxOF5Y&KID=unistore,video",0,0,0,,,,,生草字幕组,【中日双语】日本新冠后遗症患者呈现年轻化趋势，治疗新冠后遗症的门诊爆满。1/8的新冠患者会出现后遗症？新冠后遗症会在感染后的3~5个月内出现？#新冠后遗症纪录片#→微博正文/#宝藏二创榜# /#快乐夏日二创图鉴# /  L生草字幕组的微博视频 ​,"{""origin_user_name"": ""生草字幕组"", ""origin_user_link"": ""https://weibo.com/u/7389331494"", ""origin_user_verify_typ"": ""红V认证"", ""origin_weibo_content"": ""【中日双语】日本新冠后遗症患者呈现年轻化趋势，治疗新冠后遗症的门诊爆满。1/8的新冠患者会出现后遗症？新冠后遗症会在感染后的3~5个月内出现？#新冠后遗症纪录片#→微博正文/#宝藏二创榜# /#快乐夏日二创图鉴# /  L生草字幕组的微博视频"", ""origin_weibo_link"": ""https://weibo.com//weibo.com/7389331494/M0FCtqoXq?refer_flag=1001030103_"", ""origin_weibo_publish_time"": ""2022-08-12 11:14"", ""origin_source"": ""微博视频号"", ""origin_repost_cnt"": ""253"", ""origin_comment_cnt"": ""55"", ""origin_like_cnt"": ""469"", ""origin_weibo_image_urls"": """"}"
