date,n_mainstream_posts,n_wemedia_posts,n_public_posts,mainstream_risk,wemedia_risk,public_H
2020-03-01,33,4,7,0.2727272727272727,0.25,0.0
2020-03-02,11,4,4,0.0,0.0,0.0
2020-03-03,19,0,2,0.0,,0.0
2020-03-04,7,2,1,0.0,0.0,0.0
2020-03-05,43,3,6,0.13953488372093023,0.0,0.0
2020-03-06,9,4,0,0.1111111111111111,0.0,
2020-03-07,22,6,0,0.0,0.0,
2020-03-08,4,0,1,0.0,,0.0
2020-03-09,4,2,0,0.0,0.0,
2020-03-10,9,1,1,0.0,0.0,0.0
2020-03-11,2,0,1,0.5,,0.0
2020-03-12,1,0,1,0.0,,0.0
2020-03-13,13,1,3,0.0,0.0,0.0
2020-03-14,10,2,0,0.0,0.0,
2020-03-15,6,1,0,0.0,0.0,
2020-03-16,3,1,1,0.0,0.0,0.0
2020-03-17,4,2,2,0.0,0.0,0.0
2020-03-18,127,224,188,0.0,0.35267857142857145,0.031914893617021274
2020-03-19,10,25,63,0.0,0.24,0.047619047619047616
2020-03-20,3,6,9,0.0,0.16666666666666666,0.0
2020-03-21,0,3,8,,0.0,0.0
2020-03-22,7,0,3,0.14285714285714285,,0.0
2020-03-23,2,1,1,0.0,0.0,0.0
2020-03-24,14,2,5,0.21428571428571427,0.0,0.0
2020-03-25,10,0,3,0.0,,0.0
2020-03-26,5,0,1,0.2,,1.0
2020-03-27,5,1,2,0.0,0.0,0.5
2020-03-28,5,1,2,0.0,0.0,0.0
2020-03-29,1,2,0,0.0,0.0,
2020-03-30,7,0,0,0.14285714285714285,,
2020-03-31,5,0,1,0.0,,0.0
2020-04-01,7,3,1,0.14285714285714285,0.0,0.0
2020-04-02,6,2,1,0.0,0.0,0.0
2020-04-03,1,0,0,0.0,,
2020-04-04,1,0,1,0.0,,0.0
2020-04-05,1,0,0,0.0,,
2020-04-06,3,1,1,0.3333333333333333,0.0,0.0
2020-04-07,4,0,2,0.0,,0.0
2020-04-08,4,0,0,0.0,,
2020-04-09,2,1,2,0.0,0.0,0.0
2020-04-10,2,0,3,0.0,,0.0
2020-04-11,1,0,1,0.0,,0.0
2020-04-12,8,1,2,0.0,0.0,0.0
2020-04-13,1,0,1,0.0,,0.0
2020-04-14,9,3,7,0.1111111111111111,0.0,0.0
2020-04-15,10,7,1,0.0,0.0,0.0
2020-04-16,6,2,0,0.0,0.0,
2020-04-17,4,0,4,0.5,,0.0
2020-04-18,1,0,1,0.0,,0.0
2020-04-19,3,0,0,0.3333333333333333,,
2020-04-20,3,0,0,0.0,,
2020-04-21,7,4,0,0.14285714285714285,0.25,
2020-04-22,4,0,2,0.0,,0.0
2020-04-23,53,10,9,0.09433962264150944,0.1,0.0
2020-04-24,4,1,6,0.0,0.0,0.0
