date,n_mainstream_posts,n_wemedia_posts,n_public_posts,mainstream_risk,wemedia_risk,public_H
2015-05-04,1,0,0,1.0,,
2015-05-06,0,0,1,,,0.0
2016-04-22,1,0,0,0.0,,
2016-05-11,0,1,0,,0.0,
2016-08-04,1,0,0,0.0,,
2016-08-17,1,0,0,0.0,,
2016-10-16,0,0,1,,,0.0
2016-11-04,0,1,0,,0.0,
2016-12-14,2,0,0,0.0,,
2016-12-18,1,0,0,0.0,,
2016-12-20,0,1,0,,0.0,
2017-01-07,2,1,1,0.0,0.0,0.0
2017-01-13,1,0,0,0.0,,
2017-01-14,1,0,0,0.0,,
2017-06-16,1,0,0,0.0,,
2017-06-17,1,1,0,0.0,0.0,
2017-06-18,1,0,0,0.0,,
2017-06-27,0,1,0,,0.0,
2017-07-04,1,0,0,0.0,,
2017-08-30,0,0,1,,,0.0
2017-10-01,0,1,0,,0.0,
2017-10-11,1,0,0,1.0,,
2017-10-28,1,0,0,0.0,,
2017-11-01,2,0,0,0.0,,
2017-11-08,0,0,1,,,0.0
2017-11-29,1,0,0,0.0,,
2017-12-11,1,0,0,0.0,,
2018-01-17,0,0,1,,,0.0
2018-01-18,0,0,1,,,0.0
2018-01-22,0,0,1,,,0.0
2018-02-18,0,1,0,,0.0,
2018-04-23,0,0,2,,,0.0
2018-04-27,1,0,0,0.0,,
2018-05-21,0,1,0,,0.0,
2018-06-24,0,0,1,,,0.0
2018-07-29,1,0,0,0.0,,
2018-09-21,0,0,1,,,0.0
2018-09-26,1,0,0,0.0,,
2018-09-29,0,1,0,,0.0,
2018-10-08,1,0,0,0.0,,
2018-10-15,1,0,0,0.0,,
2018-10-22,0,0,1,,,0.0
2018-11-09,1,0,0,0.0,,
2018-11-11,1,0,0,0.0,,
2018-11-28,0,1,0,,0.0,
2018-11-29,1,0,0,0.0,,
2018-12-02,0,0,1,,,0.0
2018-12-04,0,0,1,,,0.0
2018-12-05,1,0,0,0.0,,
2018-12-11,1,0,0,0.0,,
2019-01-06,0,0,1,,,0.0
2019-01-07,2,0,1,0.0,,0.0
2019-01-08,1,0,0,0.0,,
2019-01-09,1,0,0,0.0,,
2019-01-24,0,1,0,,0.0,
2019-02-22,2,0,0,0.0,,
2019-03-01,0,0,1,,,0.0
2019-03-03,1,0,0,0.0,,
2019-03-22,1,0,0,0.0,,
2019-05-17,1,0,0,0.0,,
2019-07-16,0,1,0,,0.0,
2019-09-06,1,0,0,0.0,,
2019-10-05,0,0,1,,,0.0
2019-11-20,0,0,1,,,0.0
2020-01-16,1,0,0,0.0,,
2020-01-23,0,0,2,,,0.0
2020-01-24,11,0,3,0.8181818181818182,,0.0
2020-01-25,2,0,0,0.0,,
2020-01-26,1,0,1,0.0,,0.0
2020-01-27,1,0,1,0.0,,0.0
2020-01-28,2,1,1,0.0,0.0,0.0
2020-01-29,2,1,1,0.0,0.0,0.0
2020-01-30,0,0,1,,,0.0
2020-01-31,5,2,3,0.2,0.0,0.0
2020-02-01,0,1,0,,0.0,
2020-02-02,4,1,0,0.0,0.0,
2020-02-03,2,0,1,0.0,,0.0
2020-02-04,1,0,1,0.0,,0.0
2020-02-05,2,0,2,0.0,,0.0
2020-02-06,3,0,2,0.0,,0.0
2020-02-07,8,4,4,0.0,0.0,0.0
2020-02-08,5,0,2,0.2,,0.0
2020-02-09,13,2,6,0.07692307692307693,0.0,0.0
2020-02-10,11,0,3,0.0,,0.3333333333333333
2020-02-11,9,3,3,0.0,0.0,0.0
2020-02-12,6,1,1,0.5,0.0,0.0
2020-02-13,11,1,4,0.18181818181818182,0.0,0.0
2020-02-14,13,2,3,0.07692307692307693,0.0,0.0
2020-02-15,29,8,12,0.0,0.0,0.16666666666666666
2020-02-16,28,4,8,0.10714285714285714,0.25,0.0
2020-02-17,29,5,10,0.0,0.0,0.0
2020-02-18,19,1,6,0.0,0.0,0.0
2020-02-19,36,3,12,0.16666666666666666,0.0,0.0
2020-02-20,137,16,30,0.3722627737226277,0.1875,0.0
2020-02-21,27,2,5,0.18518518518518517,0.0,0.0
2020-02-22,13,8,3,0.0,0.125,0.0
2020-02-23,21,0,7,0.0,,0.0
2020-02-24,15,3,3,0.0,0.0,0.0
2020-02-25,16,2,5,0.5,0.0,0.0
2020-02-26,17,4,7,0.6470588235294118,0.25,0.0
2020-02-27,6,1,2,0.0,0.0,0.0
2020-02-28,17,0,4,0.0,,0.0
2020-02-29,13,4,2,0.0,0.0,0.0
2020-03-01,33,4,7,0.2727272727272727,0.25,0.0
2020-03-02,11,4,4,0.0,0.0,0.0
2020-03-03,19,0,2,0.0,,0.0
2020-03-04,7,2,1,0.0,0.0,0.0
2020-03-05,43,3,6,0.13953488372093023,0.0,0.0
2020-03-06,9,4,0,0.1111111111111111,0.0,
2020-03-07,22,6,0,0.0,0.0,
2020-03-08,4,0,1,0.0,,0.0
2020-03-09,4,2,0,0.0,0.0,
2020-03-10,9,1,1,0.0,0.0,0.0
2020-03-11,2,0,1,0.5,,0.0
2020-03-12,1,0,1,0.0,,0.0
2020-03-13,13,1,3,0.0,0.0,0.0
2020-03-14,10,2,0,0.0,0.0,
2020-03-15,6,1,0,0.0,0.0,
2020-03-16,3,1,1,0.0,0.0,0.0
2020-03-17,4,2,2,0.0,0.0,0.0
2020-03-18,86,91,48,0.0,0.5274725274725275,0.041666666666666664
2020-03-19,8,7,30,0.0,0.14285714285714285,0.0
2020-03-20,3,3,2,0.0,0.0,0.0
2020-03-21,0,0,2,,,0.0
2020-03-22,7,0,2,0.14285714285714285,,0.0
2020-03-23,2,1,0,0.0,0.0,
2020-03-24,14,2,5,0.21428571428571427,0.0,0.0
2020-03-25,10,0,3,0.0,,0.0
2020-03-26,5,0,0,0.2,,
2020-03-27,5,1,2,0.0,0.0,0.5
2020-03-28,5,1,1,0.0,0.0,0.0
2020-03-29,1,2,0,0.0,0.0,
2020-03-30,7,0,0,0.14285714285714285,,
2020-03-31,5,0,1,0.0,,0.0
2020-04-01,7,3,1,0.14285714285714285,0.0,0.0
2020-04-02,6,2,0,0.0,0.0,
2020-04-03,1,0,0,0.0,,
